EmployeeNumber,Age,Tenure,Turnover,HourlyRate ,HoursWeekly,CompensationType,AnnualSalary,DrivingCommuterDistance,JobRoleArea,Gender,MaritalStatus,NumCompaniesPreviouslyWorked,AnnualProfessionalDevHrs,PaycheckMethod,TextMessageOptIn
206,30,9,No,$19.62 ,40,Salary,42795.51,51.0,Human_Resources,Female,Single,7.0,32.0,Mail Check,Yes
216,31,2,Yes,$59.56 ,20,Hourly,63616.04,5.0,Human_Resources,Male,Married,7.0,22.0,Direct_Deposit,Yes
229,44,19,No,$58.32 ,40,Hourly,115615.07,41.0,HumanResources,Female,Single,5.0,7.0,Mailed Check,
55,41,20,No,$57.20 ,40,Salary,115835.0,40.0,Human Resources,Male,Divorced,0.0,32.0,MailedCheck,Yes
298,39,16,No,$22.71 ,40,Hourly,46244.04,2.0,Information_Technology,Male,Single,2.0,15.0,Direct_Deposit,No
201,35,2,No,$51.14 ,20,Salary,55408.01,55.0,Information_Technology,Male,Divorced,1.0,2.0,MailedCheck,No
44,35,10,No,$24.43 ,40,Salary,49169.82,30.0,Marketing,Male,Married,1.0,22.0,Direct_Deposit,Yes
262,26,0,Yes,$50.75 ,40,Salary,102067.39,38.0,Sales,Male,Divorced,4.0,32.0,Mail_Check,No
49,50,3,No,$47.90 ,40,Hourly,97777.32,59.0,Marketing,Female,Married,1.0,14.0,MailedCheck,No
36,21,16,No,$17.79 ,30,Salary,27700.01,28.0,Healthcare,Male,Married,4.0,3.0,DirectDeposit,No
60,50,15,No,$33.04 ,40,Hourly,71246.53,30.0,InformationTechnology,Male,Married,6.0,37.0,DirectDeposit,Yes
144,37,10,Yes,$12.07 ,40,Salary,24353.84,26.0,Information_Technology,Male,Single,6.0,38.0,Direct_Deposit,Yes
54,40,9,No,$24.60 ,30,Hourly,37874.32,31.0,Human_Resources,Male,Married,0.0,27.0,Direct_Deposit,Yes
21,42,6,No,$53.20 ,20,Salary,54173.47,59.0,Marketing,Male,Divorced,4.0,32.0,Direct_Deposit,No
125,59,8,No,$17.46 ,40,Salary,35936.33,1.0,Human_Resources,Female,Married,2.0,21.0,Direct Deposit,No
143,31,2,No,$57.73 ,40,Salary,119696.93,56.0,Manufacturing,Male,Divorced,6.0,36.0,MailedCheck,No
111,31,3,No,$64.72 ,40,Salary,131293.01,22.0,Sales,Female,Single,7.0,4.0,MailedCheck,No
293,63,5,No,$24.91 ,40,Hourly,50344.54,26.0,Laboratory,Female,Divorced,0.0,32.0,DirectDeposit,No
77,33,15,No,$60.51 ,40,Salary,129548.58,22.0,Human Resources,Male,Single,3.0,8.0,Mail_Check,
280,21,2,No,$42.79 ,30,Salary,66536.47,3.0,Human_Resources,Female,Single,4.0,20.0,Mail Check,No
271,32,19,No,$51.41 ,40,Hourly,107790.83,3.0,Sales,Male,Single,7.0,31.0,MailedCheck,No
108,49,3,No,$53.54 ,40,Hourly,108741.68,45.0,Human Resources,Female,Married,6.0,30.0,Mail Check,No
94,36,12,No,$29.24 ,30,Salary,45171.39,20.0,Information Technology,Male,Divorced,0.0,3.0,Mail_Check,No
13,53,2,Yes,$63.40 ,40,Salary,133544.47,36.0,InformationTechnology,Male,Single,4.0,39.0,Mailed Check,Yes
17,42,15,No,$51.75 ,20,Salary,51724.92,4.0,Research,Male,Married,6.0,10.0,MailedCheck,Yes
48,60,19,Yes,$39.28 ,40,Salary,83759.51,36.0,Sales,Male,Divorced,0.0,33.0,MailedCheck,Yes
187,25,7,No,$55.10 ,40,Hourly,114640.95,11.0,Information Technology,Male,Divorced,7.0,11.0,Mail_Check,No
204,51,18,No,$43.47 ,40,Salary,91667.38,2.0,Research,Female,Divorced,5.0,16.0,Mailed Check,No
265,65,18,No,$17.54 ,30,Hourly,26322.93,38.0,Laboratory,Male,Married,4.0,10.0,Mailed Check,No
120,23,10,No,$62.63 ,40,Hourly,124260.3,16.0,Laboratory,Male,Divorced,4.0,14.0,Mailed Check,No
22,35,2,No,$37.95 ,40,Salary,79168.0,14.0,Human Resources,Female,Divorced,5.0,24.0,DirectDeposit,Yes
147,19,6,No,$29.65 ,30,Salary,45280.03,27.0,Human_Resources,Male,Divorced,2.0,,Mail_Check,Yes
179,61,13,No,$52.97 ,40,Hourly,114327.75,59.0,InformationTechnology,Male,Married,7.0,15.0,Mailed Check,No
84,57,5,No,$36.02 ,40,Hourly,73184.06,34.0,Laboratory,Male,Divorced,1.0,35.0,Direct_Deposit,No
131,45,1,No,$28.57 ,40,Hourly,59303.28,43.0,HumanResources,Male,Single,0.0,5.0,Direct Deposit,Yes
230,26,19,No,$25.44 ,40,Salary,52367.19,9.0,Human_Resources,Female,Married,1.0,19.0,Mail Check,Yes
124,40,12,Yes,$62.87 ,40,Hourly,125395.52,59.0,Information Technology,Male,Single,5.0,32.0,DirectDeposit,Yes
124,40,12,Yes,$62.87 ,40,Hourly,125395.52,59.0,Information Technology,Male,Single,5.0,32.0,DirectDeposit,Yes
34,44,17,No,$31.75 ,40,Hourly,67394.01,45.0,Laboratory,Male,Divorced,1.0,1.0,Mailed Check,Yes
5,38,11,No,$63.05 ,40,Salary,135237.31,55.0,Healthcare,Male,Single,5.0,4.0,Mail Check,Yes
20,39,16,No,$14.17 ,40,Salary,28582.52,6.0,Human Resources,Male,Married,7.0,1.0,Direct Deposit,Yes
220,61,12,No,$26.48 ,40,Hourly,56893.76,53.0,Research,Male,Single,5.0,9.0,Mail_Check,No
107,55,9,Yes,$53.97 ,40,Salary,117472.18,10.0,Information Technology,Female,Single,2.0,28.0,Mail Check,Yes
150,20,6,No,$56.58 ,30,Salary,90936.76,54.0,Human_Resources,Male,Single,2.0,22.0,Direct_Deposit,Yes
225,52,6,Yes,$56.32 ,40,Salary,117094.12,36.0,Manufacturing,Male,Single,6.0,36.0,Mail_Check,No
248,37,12,Yes,$48.18 ,40,Salary,100531.21,22.0,Healthcare,Male,Single,5.0,18.0,DirectDeposit,No
275,38,0,No,$50.12 ,40,Salary,105693.12,37.0,Sales,Female,Single,1.0,29.0,Mailed Check,No
152,31,19,No,$29.09 ,30,Hourly,44355.41,48.0,Sales,Female,Divorced,0.0,16.0,MailedCheck,No
234,54,5,No,$47.91 ,40,Salary,97237.34,39.0,HumanResources,Male,Single,1.0,35.0,Mail_Check,Yes
11,43,13,No,$41.31 ,40,Hourly,82755.51,34.0,InformationTechnology,Male,Single,1.0,21.0,Mail Check,Yes
72,27,13,Yes,$42.47 ,20,Salary,44469.89,6.0,Marketing,Female,Single,7.0,17.0,Mailed Check,Yes
253,27,17,Yes,$57.53 ,20,Hourly,62153.0,7.0,Healthcare,Male,Divorced,7.0,4.0,Mail Check,Yes
93,58,7,No,$24.46 ,40,Salary,53162.66,12.0,Information_Technology,Male,Single,0.0,19.0,Mail_Check,Yes
193,47,15,No,$28.83 ,30,Salary,43835.7,16.0,Sales,Male,Divorced,7.0,13.0,Mailed Check,Yes
258,22,18,No,$58.55 ,20,Salary,63768.21,2.0,Information Technology,Male,Single,6.0,29.0,Direct_Deposit,No
300,19,13,No,$39.67 ,40,Hourly,83519.13,55.0,InformationTechnology,Male,Married,2.0,34.0,MailedCheck,Yes
196,22,8,No,$30.36 ,40,Salary,63294.61,17.0,HumanResources,Female,Divorced,1.0,31.0,MailedCheck,No
138,19,19,No,$28.01 ,40,Salary,60727.25,32.0,Human Resources,Male,Married,4.0,32.0,Direct_Deposit,Yes
261,56,11,Yes,$51.31 ,20,Hourly,52466.78,33.0,Sales,Male,Divorced,4.0,26.0,Mail Check,Yes
39,31,4,Yes,$53.01 ,40,Salary,113734.82,5.0,Laboratory,Female,Divorced,6.0,3.0,MailedCheck,Yes
202,61,13,No,$28.81 ,40,Salary,62826.27,35.0,Marketing,Male,Single,0.0,39.0,DirectDeposit,Yes
190,32,12,No,$43.84 ,40,Salary,90230.66,19.0,Marketing,Female,Divorced,7.0,11.0,Direct_Deposit,Yes
252,41,8,Yes,$22.58 ,40,Hourly,45564.62,3.0,HumanResources,Male,Single,1.0,20.0,Direct_Deposit,No
113,44,5,Yes,$55.18 ,40,Salary,117894.53,48.0,Laboratory,Male,Divorced,0.0,18.0,DirectDeposit,Yes
184,51,16,No,$43.98 ,40,Hourly,89537.73,45.0,Manufacturing,Female,Single,3.0,30.0,Mail Check,Yes
153,62,10,No,$24.85 ,30,Salary,37815.18,57.0,Manufacturing,Female,Single,6.0,28.0,Direct Deposit,Yes
192,48,18,No,$33.94 ,40,Hourly,73511.87,11.0,Research,Female,Single,4.0,35.0,Direct Deposit,Yes
45,21,19,No,$44.96 ,40,Salary,93212.73,57.0,Information_Technology,Male,Married,6.0,25.0,Mail_Check,Yes
276,41,7,No,$59.04 ,40,Salary,123074.9,36.0,Sales,Male,Single,3.0,26.0,Mail_Check,No
7,22,6,No,$57.94 ,40,Hourly,123366.27,20.0,Laboratory,Female,Single,3.0,30.0,Direct_Deposit,Yes
251,26,16,No,$21.46 ,30,Hourly,33947.76,44.0,Information Technology,Female,Single,3.0,9.0,DirectDeposit,Yes
76,40,1,Yes,$32.80 ,40,Salary,66349.05,26.0,Laboratory,Female,Divorced,5.0,6.0,Mailed Check,No
1,22,7,No,$37.31 ,40,Salary,78938.47,27.0,HumanResources,Female,Divorced,4.0,22.0,Direct_Deposit,No
69,21,0,No,$27.71 ,40,Salary,57505.39,26.0,Human Resources,Male,Single,7.0,14.0,Mailed Check,Yes
168,26,12,No,$13.66 ,40,Salary,27639.01,45.0,Human_Resources,Male,Single,2.0,25.0,MailedCheck,No
219,39,9,Yes,$44.95 ,30,Hourly,71233.3,37.0,InformationTechnology,Female,Married,6.0,30.0,DirectDeposit,No
43,51,13,No,$14.60 ,30,Salary,22458.98,55.0,Marketing,Female,Divorced,0.0,26.0,DirectDeposit,No
73,40,8,No,$64.87 ,30,Salary,101725.07,35.0,Information_Technology,Female,Married,0.0,34.0,Direct_Deposit,Yes
24,62,19,No,$36.64 ,40,Hourly,78196.85,27.0,Human_Resources,Female,Divorced,7.0,27.0,Mail_Check,
186,39,4,No,$31.16 ,40,Salary,63116.9,33.0,Human Resources,Female,Divorced,0.0,22.0,Direct_Deposit,No
104,18,20,Yes,$58.34 ,30,Salary,93872.44,54.0,Human_Resources,Male,Divorced,5.0,26.0,Direct_Deposit,No
212,52,15,No,$12.88 ,40,Hourly,26476.37,27.0,Human_Resources,Female,Divorced,0.0,37.0,Mail_Check,Yes
68,35,6,No,$64.93 ,30,Hourly,96386.36,11.0,InformationTechnology,Female,Divorced,2.0,7.0,MailedCheck,Yes
26,48,4,No,$33.81 ,30,Hourly,51030.39,44.0,HumanResources,Male,Married,3.0,29.0,Mail_Check,Yes
197,34,2,No,$13.01 ,30,Salary,19663.45,41.0,HumanResources,Male,Single,5.0,0.0,Mailed Check,Yes
176,40,16,No,$57.23 ,40,Salary,124258.37,12.0,Research,Female,Married,6.0,8.0,Mailed Check,Yes
